iter	Passed	Remaining
537	1346	1156
538	1348	1153
539	1350	1150
540	1355	1150
541	1359	1149
542	1362	1146
543	1364	1143
544	1366	1140
545	1368	1137
546	1372	1136
547	1376	1135
548	1378	1132
549	1380	1129
550	1384	1128
551	1388	1127
552	1390	1124
553	1392	1121
554	1394	1118
555	1396	1114
556	1399	1113
557	1403	1111
558	1405	1108
559	1407	1105
560	1408	1102
561	1410	1099
562	1412	1096
563	1415	1094
564	1418	1091
565	1419	1088
566	1421	1085
567	1423	1082
568	1424	1079
569	1426	1075
570	1429	1073
571	1432	1071
572	1435	1069
573	1436	1066
574	1438	1063
575	1440	1060
576	1442	1057
577	1445	1055
578	1447	1052
579	1449	1049
580	1450	1046
581	1452	1043
582	1454	1040
583	1455	1037
584	1459	1035
585	1461	1032
586	1463	1029
587	1464	1026
588	1466	1023
589	1468	1020
590	1470	1017
591	1471	1014
592	1475	1012
593	1477	1009
594	1479	1006
595	1480	1003
596	1482	1000
597	1483	997
598	1485	994
599	1487	991
600	1490	989
601	1492	986
602	1494	983
603	1496	980
604	1498	978
605	1499	975
606	1502	972
607	1504	970
608	1506	967
609	1508	964
610	1509	961
611	1511	958
612	1512	955
613	1514	952
614	1516	949
615	1518	946
616	1520	943
617	1521	940
618	1523	937
619	1525	934
620	1526	931
621	1528	928
622	1529	925
623	1531	922
624	1535	921
625	1536	918
626	1538	915
627	1540	912
628	1542	909
629	1543	906
630	1545	903
631	1547	900
632	1549	898
633	1551	895
634	1553	892
635	1555	890
636	1556	887
637	1558	884
638	1560	881
639	1562	878
640	1564	876
641	1566	873
642	1568	870
643	1569	867
644	1571	864
645	1573	862
646	1574	859
647	1576	856
648	1579	854
649	1581	851
650	1583	848
651	1585	846
652	1586	843
653	1588	840
654	1590	837
655	1592	835
656	1594	832
657	1596	829
658	1598	827
659	1600	824
660	1602	821
661	1604	818
662	1605	816
663	1608	813
664	1610	811
665	1611	808
666	1613	805
667	1615	802
668	1617	800
669	1619	797
670	1621	794
671	1624	792
672	1626	790
673	1627	787
674	1629	784
675	1631	782
676	1633	779
677	1635	776
678	1637	774
679	1640	771
680	1643	769
681	1646	767
682	1648	765
683	1650	762
684	1652	759
685	1656	758
686	1657	755
687	1660	752
688	1662	750
689	1664	747
690	1666	745
691	1669	743
692	1672	741
693	1675	738
694	1678	736
695	1680	734
696	1684	732
697	1687	730
698	1689	727
699	1692	725
700	1693	722
701	1695	719
702	1698	717
703	1700	715
704	1702	712
705	1704	709
706	1705	706
707	1707	704
708	1709	701
709	1711	698
710	1714	696
711	1716	694
712	1718	691
713	1720	689
714	1722	686
715	1724	683
716	1726	681
717	1727	678
718	1730	676
719	1732	673
720	1734	671
721	1735	668
722	1736	665
723	1738	662
724	1739	659
725	1741	657
726	1744	655
727	1746	652
728	1748	650
729	1750	647
730	1752	644
731	1753	642
732	1755	639
733	1756	636
734	1759	634
735	1761	631
736	1763	629
737	1765	626
738	1766	624
739	1768	621
740	1770	618
741	1771	616
742	1774	613
743	1776	611
744	1778	608
745	1780	606
746	1781	603
747	1783	600
748	1785	598
749	1786	595
750	1789	593
751	1791	590
752	1793	588
753	1795	585
754	1797	583
755	1798	580
756	1800	577
757	1801	575
758	1804	572
759	1806	570
760	1808	568
761	1810	565
762	1812	563
763	1814	560
764	1815	557
765	1817	555
766	1820	553
767	1822	550
768	1824	548
769	1826	545
770	1827	542
771	1830	540
772	1832	538
773	1835	536
774	1837	533
775	1839	530
776	1841	528
777	1843	525
778	1844	523
779	1847	521
780	1849	518
781	1852	516
782	1853	513
783	1856	511
784	1857	508
785	1860	506
786	1862	503
787	1865	501
788	1867	499
789	1868	496
790	1870	494
791	1871	491
792	1874	489
793	1876	486
794	1878	484
795	1881	482
796	1883	479
797	1885	477
798	1888	474
799	1890	472
800	1894	470
801	1898	468
802	1900	466
803	1902	463
804	1904	461
805	1906	458
806	1909	456
807	1911	454
808	1913	451
809	1915	449
810	1916	446
811	1918	444
812	1920	441
813	1922	439
814	1925	437
815	1927	434
816	1929	432
817	1931	429
818	1933	427
819	1934	424
820	1936	422
821	1939	420
822	1941	417
823	1943	415
824	1945	412
825	1946	410
826	1948	407
827	1950	405
828	1952	402
829	1955	400
830	1957	398
831	1959	395
832	1960	393
833	1962	390
834	1964	388
835	1966	385
836	1970	383
837	1972	381
838	1974	378
839	1976	376
840	1978	373
841	1979	371
842	1982	369
843	1985	366
844	1987	364
845	1989	362
846	1991	359
847	1994	357
848	1996	355
849	2001	353
850	2003	350
851	2005	348
852	2006	345
853	2008	343
854	2010	340
855	2012	338
856	2015	336
857	2017	333
858	2019	331
859	2021	329
860	2023	326
861	2025	324
862	2026	321
863	2028	319
864	2031	317
865	2033	314
866	2035	312
867	2037	309
868	2038	307
869	2040	304
870	2042	302
871	2046	300
872	2048	297
873	2049	295
874	2051	293
875	2053	290
876	2054	288
877	2056	285
878	2058	283
879	2061	281
880	2063	278
881	2065	276
882	2067	273
883	2069	271
884	2071	269
885	2073	266
886	2076	264
887	2078	262
888	2080	259
889	2081	257
890	2083	254
891	2085	252
892	2087	250
893	2090	247
894	2093	245
895	2095	243
896	2097	240
897	2098	238
898	2100	236
899	2102	233
900	2105	231
901	2107	229
902	2109	226
903	2112	224
904	2114	221
905	2116	219
906	2118	217
907	2122	215
908	2124	212
909	2126	210
910	2128	207
911	2130	205
912	2132	203
913	2135	200
914	2137	198
915	2139	196
916	2140	193
917	2142	191
918	2144	189
919	2146	186
920	2148	184
921	2150	181
922	2152	179
923	2154	177
924	2156	174
925	2158	172
926	2159	170
927	2161	167
928	2163	165
929	2166	163
930	2168	160
931	2170	158
932	2172	155
933	2174	153
934	2176	151
935	2178	148
936	2181	146
937	2183	144
938	2186	142
939	2189	139
940	2191	137
941	2193	135
942	2198	132
943	2201	130
944	2203	128
945	2205	125
946	2207	123
947	2210	121
948	2214	119
949	2217	116
950	2219	114
951	2221	112
952	2224	109
953	2227	107
954	2230	105
955	2232	102
956	2234	100
957	2237	98
958	2241	95
959	2243	93
960	2245	91
961	2247	88
962	2249	86
963	2250	84
964	2252	81
965	2255	79
966	2257	77
967	2259	74
968	2261	72
969	2262	69
970	2264	67
971	2266	65
972	2268	62
973	2271	60
974	2273	58
975	2275	55
976	2277	53
977	2278	51
978	2280	48
979	2282	46
980	2284	44
981	2287	41
982	2289	39
983	2291	37
984	2293	34
985	2295	32
986	2297	30
987	2300	27
988	2302	25
989	2304	23
990	2306	20
991	2308	18
992	2309	16
993	2311	13
994	2313	11
995	2316	9
996	2318	6
997	2320	4
998	2321	2
999	2323	0
